id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Alley Cipher,Static Verse,hip hop,gritty,0.74,96,0.41,0.83,0.12
12,Golden Hour Reverie,Willow & Pine,folk,nostalgic,0.46,88,0.68,0.49,0.81
13,Tidal Hearts,Mar Azul,reggaeton,playful,0.86,102,0.79,0.91,0.07
14,Cathedral of Quiet,Glass Chapel,classical,serene,0.22,64,0.58,0.21,0.97
15,Iron Anthem,Rust Crown,metal,rebellious,0.95,168,0.36,0.52,0.03
16,Velvet Afterglow,Luna Vale,r&b,romantic,0.57,92,0.74,0.72,0.28
17,Sunset Bazaar,Nile Circuit,afrobeat,euphoric,0.83,114,0.88,0.87,0.15
18,Polar Lights Pulse,Arctic Current,trance,dreamy,0.69,132,0.63,0.76,0.09
